Inicio da Semana,Chamados
18-09-22,4
11-09-22,22
04-09-22,14
28-08-22,10
21-08-22,18
14-08-22,19
07-08-22,16
31-07-22,15
24-07-22,19
17-07-22,19
10-07-22,18
03-07-22,24
26-06-22,22
19-06-22,8
12-06-22,12
05-06-22,12
29-05-22,3
22-05-22,6
15-05-22,4
08-05-22,8
01-05-22,16
24-04-22,14
17-04-22,4
10-04-22,4
03-04-22,9
27-03-22,11
20-03-22,20
13-03-22,6
06-03-22,14
27-02-22,6
20-02-22,18
13-02-22,7
06-02-22,5
30-01-22,7
23-01-22,7
16-01-22,11
09-01-22,12
02-01-22,7
26-12-21,4
19-12-21,5
12-12-21,12
05-12-21,5
28-11-21,7
21-11-21,3
14-11-21,9
07-11-21,6
31-10-21,11
24-10-21,7
17-10-21,7
10-10-21,8
03-10-21,11
26-09-21,7
19-09-21,3
12-09-21,7
05-09-21,3
29-08-21,1
22-08-21,5
15-08-21,4
08-08-21,3
01-08-21,1
25-07-21,1
18-07-21,4
11-07-21,6
04-07-21,2
27-06-21,1
20-06-21,3
13-06-21,4
06-06-21,4
30-05-21,7
23-05-21,4
16-05-21,6
09-05-21,4
02-05-21,2
25-04-21,4
18-04-21,4
11-04-21,3
04-04-21,3
28-03-21,3
14-03-21,4
07-03-21,1
28-02-21,10
21-02-21,5
14-02-21,3
07-02-21,5
31-01-21,5
24-01-21,2
03-01-21,2
13-12-20,4
06-12-20,1
29-11-20,4
22-11-20,2
15-11-20,5
08-11-20,4
01-11-20,3
11-10-20,5
04-10-20,4
27-09-20,5
20-09-20,4
13-09-20,3
06-09-20,2
30-08-20,1
23-08-20,4
16-08-20,5
09-08-20,1
02-08-20,2
26-07-20,2
19-07-20,3
05-07-20,4
28-06-20,2
21-06-20,1
14-06-20,1
03-05-20,1
05-04-20,2
29-03-20,2
15-03-20,2
08-03-20,10
01-03-20,4
16-02-20,10
09-02-20,3
02-02-20,11
26-01-20,5
19-01-20,16
12-01-20,10
05-01-20,6
29-12-19,3
22-12-19,3
15-12-19,12
08-12-19,15
01-12-19,6
24-11-19,6
17-11-19,7
10-11-19,8
03-11-19,16
27-10-19,10
20-10-19,21
13-10-19,14
06-10-19,17
29-09-19,4
22-09-19,16
15-09-19,14
08-09-19,30
01-09-19,8
25-08-19,19
18-08-19,13
11-08-19,6
04-08-19,10
28-07-19,2
21-07-19,7
14-07-19,5
07-07-19,15
30-06-19,8
23-06-19,7
16-06-19,22
09-06-19,6
02-06-19,24
26-05-19,10
19-05-19,21
12-05-19,12
05-05-19,17
28-04-19,15
21-04-19,15
14-04-19,12
07-04-19,10
31-03-19,21
24-03-19,18
17-03-19,20
10-03-19,18
03-03-19,13
24-02-19,15
17-02-19,12
10-02-19,22
03-02-19,28
27-01-19,14
20-01-19,13
13-01-19,16
06-01-19,3
30-12-18,3
16-12-18,5
09-12-18,11
02-12-18,11
25-11-18,12
18-11-18,7
11-11-18,10
04-11-18,18
28-10-18,13
21-10-18,21
14-10-18,16
07-10-18,14
30-09-18,13
23-09-18,25
16-09-18,21
09-09-18,14
02-09-18,12
26-08-18,20
19-08-18,18
12-08-18,15
05-08-18,28
29-07-18,17
22-07-18,28
15-07-18,12
08-07-18,14
01-07-18,6
24-06-18,10
17-06-18,26
10-06-18,21
03-06-18,18
27-05-18,10
20-05-18,14
13-05-18,2
